data,tasso_positivita,tasso_positivita_GaussianProcesses,tasso_positivita_MultilayerPerceptron,tasso_positivita_LinearRegression,tasso_positivita_SMOreg
2022-04-17,,20.223115651480715,14.855564489665332,14.843624484235704,49.909491761201096
2022-04-18,,20.696297181088145,12.441189066191619,14.922053094086372,51.204357999677995
2022-04-19,,19.083018256458057,11.656300377353777,12.719957711555772,50.0574906642579
2022-04-20,,19.753903024573713,12.951577418142975,12.825986959001826,51.53655100436646
2022-04-21,,20.586885438258935,14.224631614773472,15.390650410588533,52.54121594606633
2022-04-22,,20.243808240772637,14.993106075968555,14.619336323831753,52.69347333973923
2022-04-23,,19.903756345276037,9.326776240223175,12.142425186204292,52.934560001241735
2022-04-24,,20.934999989868373,14.928362685560467,14.830873722873507,54.148656556994084
2022-04-25,,21.41731292744018,11.711659827576705,14.91939386817996,55.53744010638714
2022-04-26,,19.784289126443095,10.968291740536074,12.555178279332754,54.2799812619392
2022-04-27,,20.466298852410837,12.487903301060946,12.664276921858443,55.83947466005735
